month,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct
1,27875,9010.66,770.73,9947.72,72.16,8073.75
2,27913,8379.68,677.92,9860.62,45.32,8949.54
4,3341,1781.43,69.7,1090.23,8.46,391.17
3,18166,6345.54,268.18,6746.77,38.99,4766.41
5,2132,1135.66,101.91,627.73,20.21,246.45
6,3859,1817.78,204.83,1264.77,40.09,531.52
7,9525,3789.98,583.59,3404.56,74.9,1671.91
8,9949,3682.86,665.92,3955.61,96.51,1547.19
9,6498,2746.71,311.26,2307.41,104.52,1028.14
10,9433,3789.26,287.14,3695.66,67.33,1593.67
11,9616,3669.74,179.53,4175.38,71.74,1519.56
12,13803,4921.23,312.26,6309.5,60.01,2200.01
Whole_Year,142110,51070.53,4432.97,53385.96,700.24,32519.32
